"Year","adm1_name","area_sqkm","total_hotspots","avg_frp","max_frp","density"
2019,"Preah Vihear",14042.60182701,26173,6.76813357276583,492.69,1.86382839322966
2019,"Stung Treng",12021.2850163,18759,7.48119782504398,431.62,1.5604820927683
2019,"Ratanak Kiri",11779.14026941,16022,7.35773561353139,576.32,1.36020113807529
2019,"Kratie",11984.7525471,14674,6.35027736131934,506.96,1.22438906788699
2019,"Mondul Kiri",13663.56895802,13079,6.23220123862681,522.57,0.957216964336622
2019,"Pursat",11587.54775778,11349,6.98981143713103,221.15,0.979413439084224
2019,"Kampong Thom",12455.2628894,9907,9.52722923185626,315.65,0.795406735929381
2019,"Battambang",11869.03898236,9136,9.34956654991243,376.99,0.769733759706923
2019,"Siemreap",10548.68136218,9114,7.42939214395436,578.87,0.863994246017921
2019,"Oddar Meanchey",6634.42119887,9015,6.37956295063783,450.64,1.35882237949189
2019,"Banteay Meanchey",6145.93419218,3943,6.431498858737,226.64,0.64156235272044
2019,"Kampong Speu",6969.48474432,3655,6.97121203830369,216.55,0.524429012199038
2019,"Kampong Chhnang",5300.39163482,3140,6.27386305732484,107.89,0.592409055091763
2019,"Koh Kong",11004.29689034,1836,8.2117211328976,141.83,0.166843917271235
2019,"Tboung Khmum",4932.48344152,1187,6.42517270429655,63.16,0.240649566100563
2019,"Kampot",4721.13538115,1147,6.44751525719268,66.92,0.242950033710028
2019,"Preah Sihanouk",2620.53028994,1059,7.76153918791313,111.05,0.404116679767226
2019,"Prey Veng",4764.68543432,985,5.77802030456853,66.31,0.206729282253357
2019,"Kampong Cham",4552.80230523,859,5.60484284051222,112.99,0.188675005504463
2019,"Kandal",3255.40173761,686,6.20516034985423,78.44,0.210726679928492
2019,NA,NA,501,5.98021956087824,82.22,NA
2019,"Takeo",3492.28131939,391,4.45421994884911,21.22,0.111961197922135
2019,"Pailin",1075.86207794,348,6.15902298850575,40.84,0.32346153576333
2019,"Svay Rieng",2869.28289566,240,7.47904166666667,335.24,0.0836445929967441
2019,"Phnom Penh",684.78086373,83,4.36192771084337,29.15,0.121206658065617
2019,"Kep",151.60651811,4,6.325,8.47,0.0263840898786274
2020,"Preah Vihear",14042.60182701,30017,7.03569377352833,562.36,2.13756683909276
